Šifra modela,Veličina,Šifra boje,MPC,Ime branda,Šifra branda,Vodič za veličinu,Spol,Oblik,Tip,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Fleksibilni,Veličina mosta,Naziv,Privremeno ime,Slika,Naziv final
0VO4277SB-1,56,352/E2,101,VOGUE,VO,S,Žene,Nepravilan,Puni okvir,Ružičasto zlatna,Metal,53,46,Metal,140,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4277SB__352/E2,Dioptrijski okvir VOGUE S Ružičasto zlatna
0VO4277SB-2,56,548/4L,101,VOGUE,VO,M,Žene,Nepravilan,Puni okvir,Fronta Crna/Srebrna,Metal,53,46,Metal,140,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4277SB__548/4L,Dioptrijski okvir VOGUE M Fronta Crna/Srebrna
0VO4280T,51,5213,92,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,Srebrna,Metal,55,41,Najlonska vlakna,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4280T__5213,Dioptrijski okvir VOGUE M Srebrna
0VO4280T-1,51,5213,92,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,Srebrna,Metal,55,41,Najlonska vlakna,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4280T__5213,Dioptrijski okvir VOGUE M Srebrna
0VO4280,50,280,92,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,"Crna,Fronta Crvena/Zlatna,Ružičasto zlatna",Metal,55,41,Najlonska vlakna,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4280__280,"Dioptrijski okvir VOGUE M Crna,Fronta Crvena/Zlatna,Ružičasto zlatna"
0VO4280-1,50,280,92,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,Crna,Metal,55,41,Najlonska vlakna,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4280__280,Dioptrijski okvir VOGUE M Crna
0VO4280-2,52,280,92,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,Fronta Crvena/Zlatna,Metal,55,42,Najlonska vlakna,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4280__280,Dioptrijski okvir VOGUE M Fronta Crvena/Zlatna
0VO4280-3,52,323,92,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,Ružičasto zlatna,Metal,55,42,Najlonska vlakna,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4280__323,Dioptrijski okvir VOGUE M Ružičasto zlatna
0VO4282S,56,280/87,101,VOGUE,VO,"M,S",Muškarci,Phantos,Puni okvir,"Crna,Antikna bakrena,Gunmetal",Metal,52,47,Najlonska vlakna,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4282S__280/87,"Dioptrijski okvir VOGUE M,S Crna,Antikna bakrena,Gunmetal"
0VO4282S-1,56,280/87,101,VOGUE,VO,M,Muškarci,Phantos,Puni okvir,Crna,Metal,52,47,Najlonska vlakna,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4282S__280/87,Dioptrijski okvir VOGUE M Crna
