Naziv proizvoda,BREND,,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,TRANSP.PLAVA 0AGQ,M,Acetat,80,50,45,16,135,132,VK144-2,Uncategorized,SvePotrebno,VK144,DIOPTRIJSKI OKVIR TRANSP.PLAVA 0AGQ M,dioptrijski-okvir-transpplava-0agq-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,AZUR GREY 06QL,M,Acetat,80,49,44,18,135,132,VK138,Uncategorized,SvePotrebno,VK138,DIOPTRIJSKI OKVIR AZUR GREY 06QL M,dioptrijski-okvir-azur-grey-06ql-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,AZUR GREY 06QL,M,Acetat,80,49,44,18,135,132,VK138-1,Uncategorized,SvePotrebno,VK138,DIOPTRIJSKI OKVIR AZUR GREY 06QL M,dioptrijski-okvir-azur-grey-06ql-m-1
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,SHINY BLACK 700S,M,Acetat,150,54,47,17,140,139,VYA162S,Uncategorized,SvePotrebno,VYA162S,DIOPTRIJSKI OKVIR SHINY BLACK 700S M,dioptrijski-okvir-shiny-black-700s-m
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,SHINY BLACK 700S,M,Acetat,150,54,47,17,140,139,VYA162S-1,Uncategorized,SvePotrebno,VYA162S,DIOPTRIJSKI OKVIR SHINY BLACK 700S M,dioptrijski-okvir-shiny-black-700s-m-1
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,SHINY ASPHALT GREY 04AL,M,Acetat,145,54,48,16,140,137,VYA161,Uncategorized,SvePotrebno,VYA161,DIOPTRIJSKI OKVIR SHINY ASPHALT GREY 04AL M,dioptrijski-okvir-shiny-asphalt-grey-04al-m
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,SHINY ASPHALT GREY 04AL,M,Acetat,145,54,48,16,140,137,VYA161-1,Uncategorized,SvePotrebno,VYA161,DIOPTRIJSKI OKVIR SHINY ASPHALT GREY 04AL M,dioptrijski-okvir-shiny-asphalt-grey-04al-m-1
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,TRANSP.CIKLAMA 01BV,M,Acetat,135,53,47,15,140,135,VYA129,Uncategorized,SvePotrebno,VYA129,DIOPTRIJSKI OKVIR TRANSP.CIKLAMA 01BV M,dioptrijski-okvir-transpciklama-01bv-m
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,TRANSP.CIKLAMA 01BV,M,Acetat,135,53,47,15,140,135,VYA129-1,Uncategorized,SvePotrebno,VYA129,DIOPTRIJSKI OKVIR TRANSP.CIKLAMA 01BV M,dioptrijski-okvir-transpciklama-01bv-m-1
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,"BROWN FANTASY 0XAP,TRANSP.PLAVA 06NA",M,Acetat,150,52,48,17,140,138,VYA128V,Uncategorized,SvePotrebno,VYA128V,"DIOPTRIJSKI OKVIR BROWN FANTASY 0XAP,TRANSP.PLAVA 06NA M",dioptrijski-okvir-brown-fantasy-0xaptranspplava-06na-m
