Naziv proizvoda,BREND,SPOL,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,CRNO/SIVA,M,Metal,60,55,40,18,145,140,JH10457,Uncategorized,SvePotrebno,JH10457,DIOPTRIJSKI OKVIR CRNO/SIVA M,dioptrijski-okvir-crno-siva-m
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,CRNO/SIVA,M,Metal,60,55,40,18,145,140,JH10457-1,Uncategorized,SvePotrebno,JH10457,DIOPTRIJSKI OKVIR CRNO/SIVA M,dioptrijski-okvir-crno-siva-m-1
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,PLAVO/SIVA,L,Metal,75,60,42,17,150,150,S10634,Uncategorized,SvePotrebno,S10634,DIOPTRIJSKI OKVIR PLAVO/SIVA L,dioptrijski-okvir-plavo-siva-l
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,PLAVO/SIVA,L,Metal,75,60,42,17,150,150,S10634-1,Uncategorized,SvePotrebno,S10634,DIOPTRIJSKI OKVIR PLAVO/SIVA L,dioptrijski-okvir-plavo-siva-l-1
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,"CRNO/SIVA,PLAVO/SIVA",M,Metal,60,56,37,17,145,140,JH10379,Uncategorized,SvePotrebno,JH10379,"DIOPTRIJSKI OKVIR CRNO/SIVA,PLAVO/SIVA M",dioptrijski-okvir-crno-sivaplavo-siva-m
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,CRNO/SIVA,M,Metal,60,56,37,17,145,140,JH10379-1,Uncategorized,SvePotrebno,JH10379,DIOPTRIJSKI OKVIR CRNO/SIVA M,dioptrijski-okvir-crno-siva-m-2
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,PLAVO/SIVA,M,Metal,60,56,37,17,145,140,JH10379-2,Uncategorized,SvePotrebno,JH10379,DIOPTRIJSKI OKVIR PLAVO/SIVA M,dioptrijski-okvir-plavo-siva-m
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,SIVA,S,Metal,75,55,38,18,145,138,S10640,Uncategorized,SvePotrebno,S10640,DIOPTRIJSKI OKVIR SIVA S,dioptrijski-okvir-siva-s
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,SIVA,S,Metal,75,55,38,18,145,138,S10640-1,Uncategorized,SvePotrebno,S10640,DIOPTRIJSKI OKVIR SIVA S,dioptrijski-okvir-siva-s-1
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,CRNA,L,Metal,75,60,42,16,150,150,S60060,Uncategorized,SvePotrebno,S60060,DIOPTRIJSKI OKVIR CRNA L,dioptrijski-okvir-crna-l
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,CRNA,L,Metal,75,60,42,16,150,150,S60060-1,Uncategorized,SvePotrebno,S60060,DIOPTRIJSKI OKVIR CRNA L,dioptrijski-okvir-crna-l-1
DIOPTRIJSKI OKVIR,JENS HAGEN,,Okrugao,CRNO/SIVA,S,Metal,60,47,43,19,130,120,JH10402,Uncategorized,SvePotrebno,JH10402,DIOPTRIJSKI OKVIR CRNO/SIVA S,dioptrijski-okvir-crno-siva-s
DIOPTRIJSKI OKVIR,JENS HAGEN,,Okrugao,CRNO/SIVA,S,Metal,60,47,43,19,130,120,JH10402-1,Uncategorized,SvePotrebno,JH10402,DIOPTRIJSKI OKVIR CRNO/SIVA S,dioptrijski-okvir-crno-siva-s-1
DIOPTRIJSKI OKVIR,JENS HAGEN,,Okrugao,PROZIRNA,S,Plastika,60,49,45,18,140,130,JH20074,Uncategorized,SvePotrebno,JH20074,DIOPTRIJSKI OKVIR PROZIRNA S,dioptrijski-okvir-prozirna-s
DIOPTRIJSKI OKVIR,JENS HAGEN,,Okrugao,PROZIRNA,S,Plastika,60,49,45,18,140,130,JH20074-1,Uncategorized,SvePotrebno,JH20074,DIOPTRIJSKI OKVIR PROZIRNA S,dioptrijski-okvir-prozirna-s-1
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,CRNO/ZLATNO,S,Metal,63,49,43,16,130,125,S50255,Uncategorized,SvePotrebno,S50255,DIOPTRIJSKI OKVIR CRNO/ZLATNO S,dioptrijski-okvir-crno-zlatno-s
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,CRNO/ZLATNO,S,Metal,63,49,43,16,130,125,S50255-1,Uncategorized,SvePotrebno,S50255,DIOPTRIJSKI OKVIR CRNO/ZLATNO S,dioptrijski-okvir-crno-zlatno-s-1
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,"ROSE/GOLD,CRNO/ZLATNO,CRVENO/ZLATNO",S,Metal,63,61,43,16,130,128,S50256,Uncategorized,SvePotrebno,S50256,"DIOPTRIJSKI OKVIR ROSE/GOLD,CRNO/ZLATNO,CRVENO/ZLATNO S",dioptrijski-okvir-rose-goldcrno-zlatnocrveno-zlatno-s
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,ROSE/GOLD,S,Metal,63,61,43,16,130,128,S50256-1,Uncategorized,SvePotrebno,S50256,DIOPTRIJSKI OKVIR ROSE/GOLD S,dioptrijski-okvir-rose-gold-s
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,CRNO/ZLATNO,S,Metal,63,61,43,16,130,128,S50256-2,Uncategorized,SvePotrebno,S50256,DIOPTRIJSKI OKVIR CRNO/ZLATNO S,dioptrijski-okvir-crno-zlatno-s-2
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,CRVENO/ZLATNO,S,Metal,63,61,43,16,130,128,S50256-3,Uncategorized,SvePotrebno,S50256,DIOPTRIJSKI OKVIR CRVENO/ZLATNO S,dioptrijski-okvir-crveno-zlatno-s
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,"CRNO/ZLATNO,TAMNO-PLAVO/SREBRNO",S,Metal,70,49,43,16,130,124,AM50071,Uncategorized,SvePotrebno,AM50071,"DIOPTRIJSKI OKVIR CRNO/ZLATNO,TAMNO-PLAVO/SREBRNO S",dioptrijski-okvir-crno-zlatnotamnoplavo-srebrno-s
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,CRNO/ZLATNO,S,Metal,70,49,43,16,130,124,AM50071-1,Uncategorized,SvePotrebno,AM50071,DIOPTRIJSKI OKVIR CRNO/ZLATNO S,dioptrijski-okvir-crno-zlatno-s-3
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,TAMNO-PLAVO/SREBRNO,S,Metal,70,49,43,16,130,124,AM50071-2,Uncategorized,SvePotrebno,AM50071,DIOPTRIJSKI OKVIR TAMNO-PLAVO/SREBRNO S,dioptrijski-okvir-tamnoplavo-srebrno-s
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,CRNO/SREBRNO,S,Metal,70,49,43,16,130,124,AM50070,Uncategorized,SvePotrebno,AM50070,DIOPTRIJSKI OKVIR CRNO/SREBRNO S,dioptrijski-okvir-crno-srebrno-s
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,CRNO/SREBRNO,S,Metal,70,49,43,16,130,124,AM50070-1,Uncategorized,SvePotrebno,AM50070,DIOPTRIJSKI OKVIR CRNO/SREBRNO S,dioptrijski-okvir-crno-srebrno-s-1
