Šifra modela,Veličina,Šifra boje,Ime branda,MPC,Vodič za veličinu,Spol,Oblik,Tip,Opis naziva modela,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Veličina mosta,Privremeno ime,Kategorija,AtributSet,PrivremenoIme2,Slika,Naziv final,slug
0RX7140-3,49,2001,RAY-BAN VISTA,165,S,Žene,Phantos,Puni okvir,,Transparentna,Injektirani,49,44,Metal,150,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7140__2001,Dioptrijski okvir RAY-BAN VISTA S Transparentna,dioptrijski-okvir-rayban-vista-s-transparentna
0RX7140-4,51,2001,RAY-BAN VISTA,165,L,Žene,Phantos,Puni okvir,,Transparentna,Injektirani,51,46,Metal,150,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7140__2001,Dioptrijski okvir RAY-BAN VISTA L Transparentna,dioptrijski-okvir-rayban-vista-l-transparentna
0RX7140-5,51,2012,RAY-BAN VISTA,165,L,Žene,Phantos,Puni okvir,,Havana,Injektirani,51,46,Metal,150,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7140__2012,Dioptrijski okvir RAY-BAN VISTA L Havana,dioptrijski-okvir-rayban-vista-l-havana-1
0RX7199,52,5204,RAY-BAN VISTA,175,L,Unisex,Kvadratni,Puni okvir,,"Crna,Zelena",Peek,52,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7199__5204,"Dioptrijski okvir RAY-BAN VISTA L Crna,Zelena",dioptrijski-okvir-rayban-vista-l-crnazelena
0RX7199-1,52,5204,RAY-BAN VISTA,175,L,Unisex,Kvadratni,Puni okvir,,Crna,Peek,52,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7199__5204,Dioptrijski okvir RAY-BAN VISTA L Crna,dioptrijski-okvir-rayban-vista-l-crna-5
0RX7199-2,52,8062,RAY-BAN VISTA,174,L,Unisex,Kvadratni,Puni okvir,,Zelena,Peek,52,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7199__8062,Dioptrijski okvir RAY-BAN VISTA L Zelena,dioptrijski-okvir-rayban-vista-l-zelena
0RX7235,53,5204,RAY-BAN VISTA,174,XL,Unisex,Nepravilan,Puni okvir,,"Pijesak crna,Pijesak plava,Pijesak siva,Pijesak zelena",Peek,53,44,Metal,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7235__5204,"Dioptrijski okvir RAY-BAN VISTA XL Pijesak crna,Pijesak plava,Pijesak siva,Pijesak zelena",dioptrijski-okvir-rayban-vista-xl-pijesak-crnapijesak-plavapijesak-sivapijesak-zelena
0RX7235-1,53,5204,RAY-BAN VISTA,174,XL,Unisex,Nepravilan,Puni okvir,,Pijesak crna,Peek,53,44,Metal,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7235__5204,Dioptrijski okvir RAY-BAN VISTA XL Pijesak crna,dioptrijski-okvir-rayban-vista-xl-pijesak-crna
0RX7235-2,53,5207,RAY-BAN VISTA,174,XL,Unisex,Nepravilan,Puni okvir,,Pijesak plava,Peek,53,44,Metal,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7235__5207,Dioptrijski okvir RAY-BAN VISTA XL Pijesak plava,dioptrijski-okvir-rayban-vista-xl-pijesak-plava
0RX7235-3,53,5521,RAY-BAN VISTA,174,XL,Unisex,Nepravilan,Puni okvir,,Pijesak siva,Peek,53,44,Metal,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7235__5521,Dioptrijski okvir RAY-BAN VISTA XL Pijesak siva,dioptrijski-okvir-rayban-vista-xl-pijesak-siva
0RX7235-4,53,8062,RAY-BAN VISTA,174,XL,Unisex,Nepravilan,Puni okvir,,Pijesak zelena,Peek,53,44,Metal,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7235__8062,Dioptrijski okvir RAY-BAN VISTA XL Pijesak zelena,dioptrijski-okvir-rayban-vista-xl-pijesak-zelena
