Naziv proizvoda,BREND,SPOL,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
Dioptrijski okvir,CENTROSTYLE,Dječje,Pahthos,CRNA/TIRKIZNA 301,M,Plastika,80,47,,17,135,,F0137,Uncategorized,SvePotrebno,F0137,Dioptrijski okvir CRNA/TIRKIZNA 301 M,dioptrijski-okvir-crna-tirkizna-301-m
Dioptrijski okvir,CENTROSTYLE,Dječje,Pahthos,CRNA/TIRKIZNA 301,M,Plastika,80,47,,17,135,,F0137-1,Uncategorized,SvePotrebno,F0137,Dioptrijski okvir CRNA/TIRKIZNA 301 M,dioptrijski-okvir-crna-tirkizna-301-m-1
Dioptrijski okvir,CENTROSTYLE,,Ovalni,"CRNA/ZELENA 025,ROZA 230",M,Plastika,70,50,,17,135,,F0159,Uncategorized,SvePotrebno,F0159,"Dioptrijski okvir CRNA/ZELENA 025,ROZA 230 M",dioptrijski-okvir-crna-zelena-025roza-230-m
Dioptrijski okvir,CENTROSTYLE,,Ovalni,CRNA/ZELENA 025,M,Plastika,70,50,,17,135,,F0159-1,Uncategorized,SvePotrebno,F0159,Dioptrijski okvir CRNA/ZELENA 025 M,dioptrijski-okvir-crna-zelena-025-m
Dioptrijski okvir,CENTROSTYLE,Dječje,Pahthos,ROZA 230,M,Plastika,70,48,,16,135,,F0159-2,Uncategorized,SvePotrebno,F0159,Dioptrijski okvir ROZA 230 M,dioptrijski-okvir-roza-230-m
SPORTSKE ZAŠTITNE NAOČALE,CENTROSTYLE,,Ovalni,CRNA/PLAVA 242,M,,110,53,33.8,21,130,136,F0257,Uncategorized,SvePotrebno,F0257,SPORTSKE ZAŠTITNE NAOČALE CRNA/PLAVA 242 M,sportske-zastitne-naocale-crna-plava-242-m
SPORTSKE ZAŠTITNE NAOČALE,CENTROSTYLE,,Ovalni,CRNA/PLAVA 242,M,,110,53,33.8,21,130,136,F0257-1,Uncategorized,SvePotrebno,F0257,SPORTSKE ZAŠTITNE NAOČALE CRNA/PLAVA 242 M,sportske-zastitne-naocale-crna-plava-242-m-1
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,"HAVANA 009,PLAVA 071,CRNA 050",M,Plastika,60,53,44.5,15,140,137,F0364,Uncategorized,SvePotrebno,F0364,"Dioptrijski okvir HAVANA 009,PLAVA 071,CRNA 050 M",dioptrijski-okvir-havana-009plava-071crna-050-m
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,HAVANA 009,M,Plastika,60,53,44.5,15,140,137,F0364-1,Uncategorized,SvePotrebno,F0364,Dioptrijski okvir HAVANA 009 M,dioptrijski-okvir-havana-009-m
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,PLAVA 071,M,Plastika,60,53,44.5,15,140,137,F0364-2,Uncategorized,SvePotrebno,F0364,Dioptrijski okvir PLAVA 071 M,dioptrijski-okvir-plava-071-m
