Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Naziv kategorije;BREND;SPOL;OBLIK OKVIRA;U KOJIM BOJAMA JE DOSTUPAN;U KOJIM VELIČINAMA;MATERIJAL OKVIRA;CIJENA S UKLJUČENIM PDV-om;ŠIRINA LEĆE;VISINA LEĆE;ŠIRINA MOSTA;RUČKICE;ŠIRINA FRONTE;ŠIFRA;Naziv proizvoda
F0323-M-CRNA-002;f0323-m-crna-002;002;F0323__002;Default;Eyewear;CRNA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;ZELENA 071,CRNA 002,PLAVA 008;M;Plastika;100;53;42;16;145;140;F0323;CENTROSTYLE
F0323-M-PLAVA-008;f0323-m-plava-008;008;F0323__008;Default;Eyewear;PLAVA;plava;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;ZELENA 071,CRNA 002,PLAVA 008;M;Plastika;100;53;42;16;145;140;F0323;CENTROSTYLE
F0074;f0074;;F0074__002;Default;Eyewear;CRNA 002;;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Pravokutan;CRNA 002;L;Plastika;115;59;40,3;18;150;170,4;F0074;CENTROSTYLE
F0074-L-CRNA-002;f0074-l-crna-002;002;F0074__002;Default;Eyewear;CRNA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Pravokutan;CRNA 002;L;Plastika;115;59;40,3;18;150;170,4;F0074;CENTROSTYLE
F0074-M-CRNA-002;f0074-m-crna-002;002;F0074__002;Default;Eyewear;CRNA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;CRNA 002;M;Plastika;116;55;38,5;17;145;143,6;F0074;CENTROSTYLE
F0385;f0385;;F0385__205,F0385__MAT CRNA,F0385__008;Default;Eyewear;ZELENA 205;;Dioptrijski okvir+clip on;CENTROSTYLE;Unisex;Pahthos;ZELENA 205;M;Plastika;70;51;43,2;19;140;140;F0385;CENTROSTYLE
F0385-M-ZELENA-205;f0385-m-zelena-205;205;F0385__205;Default;Eyewear;ZELENA;zelena;Dioptrijski okvir+clip on;CENTROSTYLE;Unisex;Pahthos;ZELENA 205;M;Plastika;70;51;43,2;19;140;140;F0385;CENTROSTYLE
F0385-L-MAT-CRNA;f0385-l-mat-crna;MAT CRNA;F0385__MAT CRNA;Default;Eyewear;MAT CRNA;crna;Dioptrijski okvir;CENTROSTYLE;Muške;Pahthos;MAT CRNA ,MAT PLAVA 008;L;Plastika;70;51;43,2;19;140;140;F0385;CENTROSTYLE
F0385-L-MAT-PLAVA-008;f0385-l-mat-plava-008;008;F0385__008;Default;Eyewear;MAT PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Muške;Pahthos;MAT CRNA ,MAT PLAVA 008;L;Plastika;70;51;43,2;19;140;140;F0385;CENTROSTYLE
F0397;f0397;;F0397__122,F0397__275;Default;Eyewear;CRVENA 122,PLAVA 275;;Dioptrijski okvir;CENTROSTYLE;Dječje;Ovalni;CRVENA 122,PLAVA 275;S;Plastika;70;46;;15;130;;F0397;CENTROSTYLE
F0397-S-CRVENA-122;f0397-s-crvena-122;122;F0397__122;Default;Eyewear;CRVENA;crvena;Dioptrijski okvir;CENTROSTYLE;Dječje;Ovalni;CRVENA 122,PLAVA 275;S;Plastika;70;46;;15;130;;F0397;CENTROSTYLE
F0397-S-PLAVA-275;f0397-s-plava-275;275;F0397__275;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Dječje;Ovalni;CRVENA 122,PLAVA 275;S;Plastika;70;46;;15;130;;F0397;CENTROSTYLE
F0392;f0392;;F0392__001,F0392__012;Default;Eyewear;CRNA 001,BORDO 012;;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;CRNA 001,BORDO 012;M;Plastika;60;50;36,6;14;135;132;F0392;CENTROSTYLE
F0392-M-CRNA-001;f0392-m-crna-001;001;F0392__001;Default;Eyewear;CRNA;crna;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;CRNA 001,BORDO 012;M;Plastika;60;50;36,6;14;135;132;F0392;CENTROSTYLE
F0392-M-BORDO-012;f0392-m-bordo-012;012;F0392__012;Default;Eyewear;BORDO;bordo;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;CRNA 001,BORDO 012;M;Plastika;60;50;36,6;14;135;132;F0392;CENTROSTYLE
F0386;f0386;;F0386__041,F0386__008,F0386__205,F0386__002;Default;Eyewear;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386;CENTROSTYLE
F0386-M-CRVENA-041;f0386-m-crvena-041;041;F0386__041;Default;Eyewear;CRVENA;crvena;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386;CENTROSTYLE
F0386-M-PLAVA-008;f0386-m-plava-008;008;F0386__008;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386;CENTROSTYLE
F0386-M-ZELENA-205;f0386-m-zelena-205;205;F0386__205;Default;Eyewear;ZELENA;zelena;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386;CENTROSTYLE
F0386-M-CRNA-002;f0386-m-crna-002;002;F0386__002;Default;Eyewear;CRNA;crna;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386;CENTROSTYLE
