Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Vodič za veličinu;Šifra modela;Veličina;Šifra boje;Ime branda;MPC;Spol;Oblik;Tip;Opis naziva modela;Boja prednjeg dijela;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Veličina mosta;Ime proizvoda;Kategorija
0RX5283;0rx5283;;0RX5283__2012;Default;Eyewear;Tamna havana;;M;0RX5283;51;2012;RAY-BAN VISTA;155;Unisex;Phantos;Puni okvir;;Tamna havana;Acetat;51;43;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX5283-M-Tamna-havana-2012;0rx5283-m-tamna-havana-2012;2012;0RX5283__2012;Default;Eyewear;Tamna havana;smeđa;M;0RX5283;51;2012;RAY-BAN VISTA;155;Unisex;Phantos;Puni okvir;;Tamna havana;Acetat;51;43;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX5387;0rx5387;;0RX5387__2000,0RX5387__8361;Default;Eyewear;Crna;;S;0RX5387;54;2000;RAY-BAN VISTA;123;Unisex;Kvadratni;Puni okvir;;Crna;Acetat;54;46;Acetat;150;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5387-S-Crna-2000;0rx5387-s-crna-2000;2000;0RX5387__2000;Default;Eyewear;Crna;crna;S;0RX5387;54;2000;RAY-BAN VISTA;123;Unisex;Kvadratni;Puni okvir;;Crna;Acetat;54;46;Acetat;150;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5387-XS-Crna-2000;0rx5387-xs-crna-2000;2000;0RX5387__2000;Default;Eyewear;Crna;crna;XS;0RX5387;52;2000;RAY-BAN VISTA;123;Unisex;Kvadratni;Puni okvir;;Crna;Acetat;52;44;Acetat;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5387-S-Prugasta-plava-8361;0rx5387-s-prugasta-plava-8361;8361;0RX5387__8361;Default;Eyewear;Prugasta plava;plava;S;0RX5387;54;8361;RAY-BAN VISTA;123;Unisex;Kvadratni;Puni okvir;;Prugasta plava;Acetat;54;46;Acetat;150;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5393;0rx5393;;0RX5393__2000,0RX5393__2012,0RX5393__8360;Default;Eyewear;Crna;;XS;0RX5393;51;2000;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;LEONARD;Crna;Acetat;51;41;Acetat;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX5393-XS-Crna-2000;0rx5393-xs-crna-2000;2000;0RX5393__2000;Default;Eyewear;Crna;crna;XS;0RX5393;51;2000;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;LEONARD;Crna;Acetat;51;41;Acetat;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX5393-XS-Havana-2012;0rx5393-xs-havana-2012;2012;0RX5393__2012;Default;Eyewear;Havana;smeđa;XS;0RX5393;51;2012;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;LEONARD;Havana;Acetat;51;41;Acetat;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX5393-XXS-Prugasta-siva-8360;0rx5393-xxs-prugasta-siva-8360;8360;0RX5393__8360;Default;Eyewear;Prugasta siva;siva;XXS;0RX5393;49;8360;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;LEONARD;Prugasta siva;Acetat;49;40;Acetat;145;17;RAY-BAN VISTA;Dioptrijste naočale
