Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Boja prednjeg dijela;MPC;Ime branda;Šifra branda;Vodič za veličinu;Spol;Oblik;Tip;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Fleksibilni;Veličina mosta;Naziv proizvoda;širina fronte
VO5519-M-Prozirna-2942;vo5519-m-prozirna-2942;2942;VO5519__2942;Default;Eyewear;Prozirna;prozirna;VO5519;54;2942,W44;Prozirna, CRNA;84;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Najlonska vlakna;54;42;Najlonska vlakna;140;;17;VOGUE;140
VO5519-M-CRNA-W44;vo5519-m-crna-w44;W44;VO5519__W44;Default;Eyewear;CRNA;crna;VO5519;54;2942,W44;Prozirna, CRNA;84;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Najlonska vlakna;54;42;Najlonska vlakna;140;;17;VOGUE;140
VO5519-M-Smeda-2386;vo5519-m-smeda-2386;2386;VO5519__2386;Default;Eyewear;Smeđa;smeđa;VO5519;54;2386;Smeđa;84;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Najlonska vlakna;54;42;Najlonska vlakna;140;;17;VOGUE;140
VO5562;vo5562;;VO5562__2939;Default;Eyewear;Ružičasta;;VO5562;52;2939;Ružičasta;92;VOGUE;VO;S;Žene;Phantos;Puni okvir;Injektirani;52;48;Metal;140;;17;VOGUE;135
VO5562-S-Ruzicasta-2939;vo5562-s-ruzicasta-2939;2939;VO5562__2939;Default;Eyewear;Ružičasta;roza;VO5562;52;2939;Ružičasta;92;VOGUE;VO;S;Žene;Phantos;Puni okvir;Injektirani;52;48;Metal;140;;17;VOGUE;135
VO5487B;vo5487b;;VO5487B__2942;Default;Eyewear;Ružičasta;;VO5487B;54;2942;Ružičasta;119;VOGUE;VO;M;Žene;Leptirasti;Puni okvir;Injektirani;54;45;Metal;140;;17;VOGUE;140
VO5487B-M-Ruzicasta-2942;vo5487b-m-ruzicasta-2942;2942;VO5487B__2942;Default;Eyewear;Ružičasta;roza;VO5487B;54;2942;Ružičasta;119;VOGUE;VO;M;Žene;Leptirasti;Puni okvir;Injektirani;54;45;Metal;140;;17;VOGUE;140
VO5477B;vo5477b;;VO5477B__2942,VO5477B__2940;Default;Eyewear;Ružičasta;;VO5477B;50;2942;Ružičasta;110;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Injektirani;50;45;Metal;140;;18;VOGUE;135
VO5477B-S-Ruzicasta-2942;vo5477b-s-ruzicasta-2942;2942;VO5477B__2942;Default;Eyewear;Ružičasta;roza;VO5477B;50;2942;Ružičasta;110;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Injektirani;50;45;Metal;140;;18;VOGUE;135
VO5477B-M-Transparentno-smeda-2940;vo5477b-m-transparentno-smeda-2940;2940;VO5477B__2940;Default;Eyewear;Transparentno smeđa;smeđa;VO5477B;52;2940;Transparentno smeđa;110;VOGUE;VO;M;Žene;Četvrtasti;Puni okvir;Injektirani;52;48;Metal;140;;18;VOGUE;140
